day,month,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,region
14,8,33,66,14,0.0,87.0,21.7,192,5.7,27.2,20,0,0
15,8,36,55,13,0.3,82.4,15.6,190,3.7,22.0,104,0,0
16,8,36,61,18,0.3,80.2,11.7,189,2.8,17.6,93,0,0
17,8,37,52,18,0.0,89.3,16.0,4,9.7,22.9,39,0,0
18,8,36,54,18,0.0,89.4,20.0,8,9.7,27.5,47,0,0
19,8,35,62,19,0.0,89.4,23.2,12,9.7,31.3,51,0,0
20,8,35,68,19,0.0,88.3,25.9,15,8.8,34.7,50,0,0
21,8,36,58,19,0.0,88.6,29.6,20,9.2,38.8,55,0,0
22,8,36,55,18,0.0,89.1,33.5,28,9.9,43.1,69,0,0
23,8,36,53,16,0.0,89.5,37.6,35,10.4,47.5,72,0,0
24,8,34,64,14,0.0,88.9,40.5,43,9.0,50.9,70,0,0
25,8,35,60,15,0.0,88.9,43.9,49,8.2,54.7,68,0,0
26,8,31,78,18,0.0,85.8,45.6,53,4.7,57.1,35,0,0
27,8,33,82,21,0.0,84.9,47.0,55,4.4,59.3,33,0,0
28,8,34,64,16,0.0,89.4,50.2,57,7.3,62.9,60,0,0
29,8,35,48,18,0.0,90.1,54.2,61,12.5,67.4,88,0,0
30,8,35,70,17,0.8,72.7,25.2,48,1.7,37.4,93,1,0
31,8,28,80,21,16.8,52.5,8.7,169,0.6,8.3,3,1,0
1,9,25,76,17,7.2,46.0,1.3,148,0.2,1.8,1,1,0
2,9,22,86,15,10.1,30.5,0.7,144,0.0,1.1,0,1,0
3,9,25,78,15,3.8,42.6,1.2,148,0.1,1.7,0,1,0
4,9,29,73,17,0.1,68.4,1.9,26,1.4,2.9,5,1,0
5,9,29,75,16,0.0,80.8,3.4,62,2.8,5.1,14,0,0
6,9,29,74,19,0.1,75.8,3.6,86,2.1,5.6,9,1,0
7,9,31,71,17,0.3,69.6,3.2,80,1.5,5.1,6,1,0
8,9,30,73,17,0.9,62.0,2.6,166,1.1,3.0,4,1,0
9,9,30,77,15,1.0,56.1,2.1,166,0.7,2.6,2,1,0
10,9,33,73,12,1.8,59.9,2.2,171,0.7,2.7,3,1,0
11,9,30,77,21,1.8,58.5,1.9,166,1.1,2.4,3,1,0
12,9,29,88,13,0.0,71.0,2.6,34,1.2,3.7,5,1,0
13,9,25,86,21,4.6,40.9,1.3,148,0.1,1.8,0,1,0
14,9,22,76,26,8.3,47.4,1.1,144,0.4,1.6,1,1,0
15,9,24,82,15,0.4,44.9,0.9,146,0.2,1.4,0,1,0
16,9,30,65,14,0.0,78.1,3.2,26,1.9,4.2,8,1,0
17,9,31,52,14,0.0,87.7,6.4,64,6.2,7.7,101,0,0
18,9,32,49,11,0.0,89.4,9.8,87,6.8,11.3,113,0,0
19,9,29,57,14,0.0,89.3,12.5,104,7.8,14.2,122,0,0
20,9,28,84,18,0.0,83.8,13.5,119,4.5,16.0,104,0,0
21,9,31,55,11,0.0,87.8,16.5,133,5.4,19.2,115,0,0
22,9,31,50,19,0.6,77.8,10.6,105,2.4,12.9,67,1,0
23,9,32,54,11,0.5,73.7,7.9,81,1.2,9.6,7,1,0
24,9,29,65,19,0.6,68.3,5.5,24,1.5,5.8,7,1,0
25,9,26,81,21,5.8,48.6,3.0,150,0.4,3.0,1,1,0
26,9,31,54,11,0.0,82.0,6.0,32,2.5,6.2,14,1,0
27,9,31,66,11,0.0,85.7,8.3,65,4.0,9.0,92,0,0
28,9,32,47,14,0.7,77.5,7.1,170,1.8,6.8,9,1,0
29,9,26,80,16,1.8,47.4,2.9,150,0.3,3.0,1,1,0
30,9,25,78,14,1.4,45.0,1.9,148,0.2,2.4,1,1,0
1,6,32,71,12,0.7,57.1,2.5,164,0.6,2.8,2,1,1
2,6,30,73,13,4.0,55.7,2.7,151,0.6,2.9,2,1,1
3,6,29,80,14,2.0,48.7,2.2,149,0.3,2.6,1,1,1
4,6,30,64,14,0.0,79.4,5.2,25,2.2,5.6,10,1,1
5,6,32,60,14,0.2,77.1,6.0,40,1.8,6.5,9,1,1
6,6,35,54,11,0.1,83.7,8.4,70,3.1,9.3,80,0,1
7,6,35,44,17,0.2,85.6,9.9,78,5.4,10.7,102,0,1
8,6,28,51,17,1.3,71.4,7.7,147,1.5,7.3,8,1,1
9,6,27,59,18,0.1,78.1,8.5,19,2.4,8.3,15,1,1
10,6,30,41,15,0.0,89.4,13.3,59,8.4,13.1,16,0,1
11,6,31,42,21,0.0,90.6,18.2,82,13.4,18.0,49,0,1
12,6,27,58,17,0.0,88.9,21.3,98,8.7,21.2,31,0,1
13,6,30,52,15,2.0,72.3,11.4,151,1.4,10.9,9,1,1
14,6,27,79,16,0.7,53.4,6.4,146,0.5,6.1,3,1,1
15,6,28,90,15,0.0,66.8,7.2,19,1.2,7.1,6,1,1
16,6,29,87,15,0.4,47.4,4.2,163,0.2,4.1,1,1,1
17,6,31,69,17,4.7,62.2,3.9,163,1.1,3.8,4,1,1
18,6,33,62,10,8.7,65.5,4.6,165,0.9,4.4,4,1,1
19,6,32,67,14,4.5,64.6,4.4,164,1.0,4.2,4,1,1
20,6,31,72,14,0.2,60.2,3.8,163,0.8,3.7,3,1,1
21,6,32,55,14,0.0,86.2,8.3,45,5.0,8.2,95,0,1
22,6,33,46,14,1.1,78.3,8.1,165,1.9,7.7,11,1,1
23,6,33,59,16,0.8,74.2,7.0,165,1.6,6.7,8,1,1
24,6,35,68,16,0.0,85.3,10.0,39,4.9,9.9,97,0,1
25,6,34,70,16,0.0,86.0,12.8,68,5.4,12.7,107,0,1
26,6,36,62,16,0.0,87.8,16.5,90,7.0,16.4,120,0,1
27,6,36,55,15,0.0,89.1,20.9,110,8.0,20.8,26,0,1
28,6,37,37,13,0.0,92.5,27.2,123,11.7,27.1,55,0,1
29,6,37,36,13,0.6,86.2,17.9,93,4.8,17.8,110,0,1
30,6,34,42,15,1.7,79.7,12.0,167,2.2,11.5,62,1,1
1,7,28,58,18,2.2,63.7,3.2,167,1.2,3.3,5,1,1
2,7,33,48,16,0.0,87.6,7.9,42,6.8,7.8,105,0,1
3,7,34,56,17,0.1,84.7,9.7,73,4.7,10.3,96,0,1
4,7,34,58,18,0.0,88.0,13.6,94,8.0,14.1,124,0,1
5,7,34,45,18,0.0,90.5,18.7,114,11.3,18.7,41,0,1
6,7,35,42,15,0.3,84.7,15.5,112,4.3,16.7,104,0,1
7,7,38,43,13,0.5,85.0,13.0,91,4.1,13.7,96,0,1
8,7,35,47,18,6.0,80.8,9.8,185,3.1,9.4,79,0,1
9,7,36,43,15,1.9,82.3,9.4,187,3.2,9.0,80,0,1
10,7,34,51,16,3.8,77.5,8.0,184,2.0,7.7,12,1,1
11,7,34,56,15,2.9,74.8,7.1,184,1.6,6.8,8,1,1
12,7,36,44,13,0.0,90.1,12.6,50,8.3,12.5,121,0,1
13,7,39,45,13,0.6,85.2,11.3,2,4.2,10.9,94,0,1
15,7,34,45,17,0.0,90.5,18.0,63,10.9,17.7,37,0,1
16,7,31,83,17,0.0,84.5,19.4,87,4.7,19.2,111,0,1
17,7,32,81,17,0.0,84.6,21.1,107,4.7,20.9,113,0,1
18,7,33,68,15,0.0,86.1,23.9,122,5.2,23.9,119,0,1
19,7,34,58,16,0.0,88.1,27.8,136,7.3,27.7,32,0,1
20,7,36,50,16,0.0,89.9,32.7,153,9.5,32.6,52,0,1
21,7,36,29,18,0.0,93.9,39.6,173,18.5,39.5,87,0,1
22,7,32,48,18,0.0,91.5,44.2,188,13.2,44.0,75,0,1
23,7,31,71,17,0.0,87.3,46.6,196,6.9,46.5,48,0,1
24,7,33,63,17,1.1,72.8,20.9,130,1.6,21.7,64,1,1
25,7,39,64,9,1.2,73.8,11.7,27,1.1,11.4,7,1,1
26,7,35,58,10,0.2,78.3,10.8,51,1.6,10.7,10,1,1
27,7,29,87,18,0.0,80.0,11.8,77,2.8,11.8,81,1,1
28,7,33,57,16,0.0,87.5,15.7,97,6.7,15.7,118,0,1
29,7,34,59,16,0.0,88.1,19.5,116,7.4,19.5,22,0,1
30,7,36,56,16,0.0,88.9,23.8,132,8.2,23.8,33,0,1
31,7,37,55,15,0.0,89.3,28.3,143,8.3,28.3,38,0,1
1,8,38,52,14,0.0,78.3,4.4,3,2.0,4.4,8,1,1
2,8,40,34,14,0.0,93.3,10.8,56,13.8,10.6,34,0,1
3,8,39,33,17,0.0,93.7,17.1,85,17.2,16.9,59,0,1
4,8,38,35,15,0.0,93.8,23.0,108,15.7,22.9,70,0,1
5,8,34,42,17,0.1,88.3,23.6,124,19.0,23.5,29,0,1
6,8,30,54,14,3.1,70.5,11.0,181,1.3,10.5,8,1,1
7,8,34,63,13,2.9,69.7,7.2,186,1.2,6.9,6,1,1
8,8,37,56,11,0.0,87.4,11.2,54,5.2,11.0,101,0,1
9,8,39,43,12,0.0,91.7,16.5,83,9.6,16.4,30,0,1
10,8,39,39,15,0.2,89.3,15.8,91,8.2,15.8,21,0,1
11,8,40,31,15,0.0,94.2,22.5,113,16.6,22.4,71,0,1
12,8,39,21,17,0.4,93.0,18.4,106,15.5,18.4,56,0,1
13,8,35,34,16,0.2,88.3,16.9,112,7.5,17.5,19,0,1
14,8,37,40,13,0.0,91.9,22.3,128,10.8,22.3,45,0,1
15,8,35,46,13,0.3,83.9,16.9,126,3.5,19.0,98,0,1
16,8,40,41,10,0.1,92.0,22.6,141,9.5,24.2,40,0,1
17,8,42,24,9,0.0,96.0,30.3,158,15.7,30.4,73,0,1
18,8,37,37,14,0.0,94.3,35.9,177,16.0,35.9,77,0,1
19,8,35,66,15,0.1,82.7,32.7,193,3.3,35.5,113,0,1
20,8,36,81,15,0.0,83.7,34.4,6,3.8,38.1,118,0,1
21,8,36,71,15,0.0,86.0,36.9,10,5.1,41.3,28,0,1
22,8,37,53,14,0.0,89.5,41.1,14,8.0,45.5,54,0,1
23,8,36,43,16,0.0,91.2,46.1,17,11.5,50.2,74,0,1
24,8,35,38,15,0.0,92.1,51.3,22,12.2,54.9,78,0,1
25,8,34,40,18,0.0,92.1,56.3,29,14.3,59.5,90,0,1
26,8,33,37,16,0.0,92.2,61.3,37,13.1,64.0,89,0,1
27,8,36,54,14,0.0,91.0,65.9,44,10.0,68.0,76,0,1
28,8,35,56,14,0.4,79.2,37.0,36,2.1,30.6,103,1,1
29,8,35,53,17,0.5,80.2,20.7,23,2.7,30.6,101,0,1
30,8,34,49,15,0.0,89.2,24.8,30,8.1,35.7,46,0,1
31,8,30,59,19,0.0,89.1,27.8,38,9.8,39.3,58,0,1
1,9,29,86,16,0.0,37.9,0.9,164,0.1,1.4,0,1,1
2,9,28,67,19,0.0,75.4,2.9,32,2.0,4.0,8,1,1
3,9,28,75,16,0.0,82.2,4.4,64,3.3,6.0,64,0,1
4,9,30,66,15,0.2,73.5,4.1,71,1.5,6.0,7,1,1
5,9,30,58,12,4.1,66.1,4.0,166,1.0,3.9,4,1,1
6,9,34,71,14,6.5,64.5,3.3,181,1.0,3.5,4,1,1
7,9,31,62,15,0.0,83.3,5.8,41,3.8,6.4,81,0,1
8,9,30,88,14,0.0,82.5,6.6,69,3.0,8.1,66,0,1
9,9,30,80,15,0.0,83.1,7.9,90,3.5,10.0,84,0,1
10,9,29,74,15,1.1,59.5,4.7,164,0.8,4.6,3,1,1
11,9,30,73,14,0.0,79.2,6.5,34,2.1,6.6,11,1,1
12,9,31,72,14,0.0,84.2,8.3,66,3.8,9.1,86,0,1
13,9,29,49,19,0.0,88.6,11.5,88,9.1,12.4,18,0,1
14,9,28,81,15,0.0,84.6,12.6,106,4.3,14.3,100,0,1
15,9,32,51,13,0.0,88.7,16.0,121,6.9,17.8,123,0,1
16,9,33,26,13,0.0,93.9,21.2,134,14.2,22.4,57,0,1
17,9,34,44,12,0.0,92.5,25.2,139,11.2,26.2,53,0,1
18,9,36,33,13,0.1,90.6,25.8,160,9.0,28.2,44,0,1
19,9,29,41,8,0.1,83.9,24.9,176,2.7,28.9,99,0,1
20,9,34,58,13,0.2,79.5,18.7,178,2.1,24.4,85,1,1
21,9,35,34,17,0.0,92.2,23.6,194,13.8,29.4,71,0,1
22,9,33,64,13,0.0,88.9,26.1,5,7.1,32.4,35,0,1
23,9,35,56,14,0.0,89.0,29.4,9,7.5,36.0,42,0,1
24,9,26,49,6,2.0,61.3,11.9,76,0.6,11.9,4,1,1
25,9,28,70,15,0.0,79.9,13.8,92,2.4,14.1,79,1,1
26,9,30,65,14,0.0,85.4,16.0,111,4.5,16.9,106,0,1
27,9,28,87,15,4.4,41.1,6.5,163,0.1,6.2,0,1,1
28,9,27,87,29,0.5,45.9,3.5,152,0.4,3.4,2,1,1
29,9,24,54,18,0.1,79.7,4.3,24,1.7,5.1,7,1,1
30,9,24,64,15,0.2,67.3,3.8,33,1.2,4.8,5,1,1
